DHSID_EA,most_relevant_sentences
BJ-2012-6#-00000718,The Agbado River is a river of Benin
BJ-2012-6#-00000399,"74 m³/a (2001) Natural hazards: hot, dry, dusty harmattan wind may affect north in December to March Environment - current issues: inadequate supplies of potable water; poaching threatens wildlife populations; deforestation; desertification Environment - international agreements: party to: Biodiversity, Climate Change, Climate Change-Kyoto Protocol Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Wetlands, Whaling Sandbanks create difficult access to a coast with no natural harbors, river mouths, or islands"
BJ-2012-6#-00000718,The Agbado River is a river of Benin
BJ-2012-6#-00000399,"74 m³/a (2001) Natural hazards: hot, dry, dusty harmattan wind may affect north in December to March Environment - current issues: inadequate supplies of potable water; poaching threatens wildlife populations; deforestation; desertification Environment - international agreements: party to: Biodiversity, Climate Change, Climate Change-Kyoto Protocol Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Wetlands, Whaling Sandbanks create difficult access to a coast with no natural harbors, river mouths, or islands"
BJ-2012-6#-00000718,The Agbado River is a river of Benin
BJ-2012-6#-00000399,"74 m³/a (2001) Natural hazards: hot, dry, dusty harmattan wind may affect north in December to March Environment - current issues: inadequate supplies of potable water; poaching threatens wildlife populations; deforestation; desertification Environment - international agreements: party to: Biodiversity, Climate Change, Climate Change-Kyoto Protocol Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Wetlands, Whaling Sandbanks create difficult access to a coast with no natural harbors, river mouths, or islands"
BJ-2012-6#-00000718,The Agbado River is a river of Benin
BJ-2012-6#-00000399,"74 m³/a (2001) Natural hazards: hot, dry, dusty harmattan wind may affect north in December to March Environment - current issues: inadequate supplies of potable water; poaching threatens wildlife populations; deforestation; desertification Environment - international agreements: party to: Biodiversity, Climate Change, Climate Change-Kyoto Protocol Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Wetlands, Whaling Sandbanks create difficult access to a coast with no natural harbors, river mouths, or islands"
BJ-2012-6#-00000718,The Agbado River is a river of Benin
BJ-2012-6#-00000399,"74 m³/a (2001) Natural hazards: hot, dry, dusty harmattan wind may affect north in December to March Environment - current issues: inadequate supplies of potable water; poaching threatens wildlife populations; deforestation; desertification Environment - international agreements: party to: Biodiversity, Climate Change, Climate Change-Kyoto Protocol Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Wetlands, Whaling Sandbanks create difficult access to a coast with no natural harbors, river mouths, or islands"
BJ-2012-6#-00000718,The Agbado River is a river of Benin
BJ-2012-6#-00000399,"74 m³/a (2001) Natural hazards: hot, dry, dusty harmattan wind may affect north in December to March Environment - current issues: inadequate supplies of potable water; poaching threatens wildlife populations; deforestation; desertification Environment - international agreements: party to: Biodiversity, Climate Change, Climate Change-Kyoto Protocol Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Wetlands, Whaling Sandbanks create difficult access to a coast with no natural harbors, river mouths, or islands"
BJ-2012-6#-00000718,The Agbado River is a river of Benin
BJ-2012-6#-00000399,"74 m³/a (2001) Natural hazards: hot, dry, dusty harmattan wind may affect north in December to March Environment - current issues: inadequate supplies of potable water; poaching threatens wildlife populations; deforestation; desertification Environment - international agreements: party to: Biodiversity, Climate Change, Climate Change-Kyoto Protocol Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Wetlands, Whaling Sandbanks create difficult access to a coast with no natural harbors, river mouths, or islands"
BJ-2012-6#-00000718,The Agbado River is a river of Benin
BJ-2012-6#-00000399,"74 m³/a (2001) Natural hazards: hot, dry, dusty harmattan wind may affect north in December to March Environment - current issues: inadequate supplies of potable water; poaching threatens wildlife populations; deforestation; desertification Environment - international agreements: party to: Biodiversity, Climate Change, Climate Change-Kyoto Protocol Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Wetlands, Whaling Sandbanks create difficult access to a coast with no natural harbors, river mouths, or islands"
BJ-2012-6#-00000718,The Agbado River is a river of Benin
BJ-2012-6#-00000399,"74 m³/a (2001) Natural hazards: hot, dry, dusty harmattan wind may affect north in December to March Environment - current issues: inadequate supplies of potable water; poaching threatens wildlife populations; deforestation; desertification Environment - international agreements: party to: Biodiversity, Climate Change, Climate Change-Kyoto Protocol Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Wetlands, Whaling Sandbanks create difficult access to a coast with no natural harbors, river mouths, or islands"
BJ-2017-7#-00000406,"Lake Toho is a small lake in Mono Department, Benin"
BJ-2012-6#-00000343,"Lake Togbadji is a small lake in Mono Department, Benin"
BJ-2012-6#-00000718,The Agbado River is a river of Benin
BJ-2012-6#-00000399,"74 m³/a (2001) Natural hazards: hot, dry, dusty harmattan wind may affect north in December to March Environment - current issues: inadequate supplies of potable water; poaching threatens wildlife populations; deforestation; desertification Environment - international agreements: party to: Biodiversity, Climate Change, Climate Change-Kyoto Protocol Desertification, Endangered Species, Environmental Modification, Hazardous Wastes, Law of the Sea, Ozone Layer Protection, Ship Pollution, Wetlands, Whaling Sandbanks create difficult access to a coast with no natural harbors, river mouths, or islands"
